Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
0;8.45;42;937.72;24;39;45
0;8.47;42;937.71;36;57;74
1;8.50;42;937.66;37;59;76
0;8.54;42;937.69;38;60;77
1;8.56;41;937.66;38;59;74
1;8.55;41;937.68;40;61;72
0;8.60;40;937.71;40;61;75
0;8.69;40;937.74;40;60;75
0;8.70;40;937.76;40;60;76
0;8.81;40;937.77;38;59;76
0;8.83;41;937.77;39;60;78
0;8.85;40;937.78;39;61;82
0;8.88;40;937.78;39;63;86
0;8.90;39;937.75;39;63;88
0;8.92;39;937.77;37;62;86
0;8.93;39;937.76;38;63;88
0;8.95;40;937.75;38;63;87
0;8.96;40;937.78;38;60;84
0;8.97;40;937.79;38;61;84
0;9.00;40;937.77;38;60;84
0;8.99;40;937.78;38;60;84
0;9.01;40;937.80;39;61;82
0;9.02;40;937.78;38;58;79
0;8.95;40;937.77;39;59;79
0;8.97;39;937.78;38;59;79
0;8.99;39;937.80;37;60;80
0;9.00;39;937.79;36;60;81
0;8.80;39;937.79;37;60;83
0;8.77;39;937.77;38;61;83
0;8.76;39;937.75;38;61;83
0;8.71;39;937.75;38;61;83
0;8.77;39;937.74;38;58;80
0;8.81;39;937.79;38;58;80
0;8.84;39;937.79;37;58;81
0;8.87;39;937.79;37;58;81
0;8.89;40;937.77;38;58;83
0;8.91;40;937.76;38;58;83
0;8.93;40;937.77;37;57;83
0;8.93;40;937.77;37;57;83
0;8.98;40;937.73;35;56;80
0;8.99;40;937.77;35;56;80
0;8.99;39;937.69;36;56;79
0;8.98;39;937.72;36;56;79
1;9.00;38;937.68;37;59;83
0;8.94;38;937.70;36;58;82
0;9.02;38;937.70;36;59;80
1;9.03;38;937.69;37;59;80
1;9.07;38;937.68;37;59;80
0;9.13;38;937.73;37;59;81
0;8.94;38;937.77;37;59;80
0;9.00;38;937.77;37;59;81
0;9.03;38;937.75;37;59;81
-1;9.06;38;937.82;37;59;81
-1;9.14;38;937.81;37;60;81
0;9.16;38;937.79;37;60;81
0;9.19;38;937.80;38;60;81
-1;9.24;38;937.85;37;60;81
-1;9.27;39;937.84;37;58;81
-1;9.26;39;937.81;37;59;81
-1;9.27;39;937.84;37;59;82
-1;9.36;39;937.81;37;58;80
-1;9.40;39;937.88;38;57;77
-1;9.39;39;937.89;38;57;78
-1;9.44;39;937.88;37;57;78
-1;9.47;39;937.90;37;57;78
-2;9.44;39;937.92;37;58;80
-1;9.37;39;937.90;37;59;80
-1;9.35;38;937.86;38;59;78
-1;9.35;38;937.85;38;59;78
0;9.34;38;937.81;38;60;78
0;9.37;38;937.76;38;60;78
0;9.44;38;937.73;39;64;82
0;9.49;38;937.74;39;64;82
0;9.47;38;937.74;39;61;79
0;9.53;37;937.78;39;60;78
0;9.57;37;937.75;37;58;78
0;9.63;37;937.75;37;57;77
0;9.70;37;937.74;35;57;78
0;9.76;37;937.74;35;57;78
0;9.82;37;937.74;36;58;77
0;9.89;37;937.77;36;58;78
0;9.95;37;937.74;36;58;77
0;10.01;37;937.76;36;57;75
0;10.09;37;937.72;37;57;78
0;10.11;37;937.74;37;57;78
0;10.01;37;937.74;37;57;81
0;10.03;37;937.75;37;57;80
0;10.07;37;937.79;37;57;82
0;10.11;37;937.73;37;57;82
0;10.15;37;937.79;37;57;82
0;10.19;37;937.73;37;57;82
0;10.26;36;937.73;38;57;82
0;10.30;36;937.73;38;57;82
0;10.36;36;937.71;37;56;77
0;10.40;36;937.72;37;56;74
0;10.42;35;937.73;36;55;72
0;10.44;35;937.69;36;54;70
0;10.41;35;937.73;34;55;73
0;10.41;35;937.75;34;56;74
0;10.37;35;937.77;35;57;76
0;10.34;35;937.74;35;57;77
0;10.35;35;937.76;34;57;78
0;10.32;35;937.72;35;57;78
0;10.32;35;937.75;36;56;77
0;10.31;35;937.76;36;56;78
0;10.28;35;937.71;36;57;78
0;10.25;35;937.75;35;57;77
0;10.31;35;937.73;36;57;76
0;10.29;35;937.72;34;56;75
0;10.23;35;937.69;36;56;76
0;10.18;35;937.71;36;56;75
0;10.11;35;937.75;35;56;75
0;10.08;35;937.78;37;56;76
0;10.00;35;937.75;37;57;77
0;9.99;35;937.77;37;57;77
0;10.01;35;937.76;37;57;77
0;10.01;35;937.79;37;57;77
0;10.04;35;937.80;38;58;78
0;10.04;35;937.77;37;58;80
0;9.93;35;937.80;38;57;78
0;9.85;35;937.78;39;58;81
