Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
0;6.95;39;912.82;97;168;201
1;7.04;39;912.80;144;253;323
0;7.09;38;912.81;147;259;327
0;7.13;38;912.81;150;267;334
0;7.18;38;912.87;147;263;335
0;7.23;37;912.81;149;263;322
0;7.29;37;912.82;149;262;325
0;7.35;37;912.83;149;262;322
0;7.38;37;912.82;147;258;317
1;7.45;37;912.79;150;265;320
1;7.50;37;912.77;150;265;320
0;7.58;37;912.81;153;267;335
0;7.61;37;912.84;152;264;332
0;7.70;37;912.81;153;272;364
0;7.75;37;912.82;153;273;359
0;7.80;37;912.84;155;272;369
0;7.84;37;912.83;155;272;362
0;7.88;37;912.84;153;268;349
0;7.92;37;912.84;157;270;357
0;7.95;37;912.84;155;269;350
0;7.97;37;912.85;155;269;350
1;8.00;37;912.80;154;268;355
0;8.00;37;912.83;154;268;355
0;7.93;37;912.84;157;274;361
0;7.90;36;912.86;155;272;358
0;7.90;36;912.83;156;276;363
0;7.91;36;912.84;156;276;363
0;7.87;36;912.84;157;275;368
0;7.85;36;912.81;157;275;368
1;7.83;36;912.80;156;270;361
0;7.80;36;912.84;156;270;361
0;7.79;36;912.82;164;281;369
0;7.77;36;912.82;163;279;367
0;7.76;36;912.83;160;277;367
0;7.75;36;912.84;160;277;367
0;7.73;36;912.85;158;277;362
0;7.70;36;912.80;158;277;362
0;7.67;36;912.84;159;278;357
0;7.63;37;912.84;159;277;357
0;7.53;37;912.83;156;281;365
0;7.49;37;912.84;156;280;364
0;7.43;37;912.88;155;282;370
0;7.39;37;912.85;155;282;370
0;7.32;37;912.86;156;282;371
0;7.27;37;912.88;156;282;371
0;7.15;37;912.87;155;280;367
0;7.09;37;912.91;155;280;367
0;7.04;37;912.87;153;275;355
0;6.99;37;912.86;153;275;355
0;6.94;37;912.87;153;272;344
0;6.90;37;912.86;153;272;344
0;6.85;38;912.86;150;263;338
0;6.82;38;912.85;150;263;338
0;6.76;38;912.87;150;259;326
0;6.72;38;912.88;150;259;326
0;6.66;38;912.84;153;259;332
0;6.63;38;912.83;153;259;332
0;6.54;38;912.81;153;259;332
0;6.50;38;912.85;152;262;342
0;6.47;38;912.84;152;262;342
1;6.29;39;912.74;158;271;350
1;6.03;39;912.69;158;271;357
3;5.70;39;912.58;156;272;352
3;5.46;40;912.55;158;271;355
3;5.16;40;912.53;160;274;359
3;4.90;40;912.53;159;272;356
4;4.82;41;912.46;160;266;355
4;4.69;41;912.46;160;266;355
3;4.61;41;912.48;155;268;370
3;4.43;42;912.52;155;266;367
3;4.28;42;912.52;148;262;356
3;4.18;42;912.55;147;262;358
3;4.09;43;912.57;147;260;340
2;4.01;43;912.62;147;260;340
3;3.90;43;912.53;148;260;337
3;3.82;43;912.58;149;261;338
3;3.64;44;912.52;146;261;343
3;3.49;44;912.53;146;261;343
3;3.27;44;912.56;147;262;344
3;3.10;45;912.52;146;261;341
3;2.97;45;912.50;150;265;356
3;2.90;45;912.57;152;270;369
4;2.79;46;912.44;151;267;365
9;2.66;46;911.89;151;268;368
16;2.61;46;911.08;149;268;353
24;2.56;46;910.24;150;267;356
32;2.56;46;909.30;142;251;317
41;2.50;46;908.35;139;244;309
50;2.38;46;907.38;126;222;289
58;2.25;46;906.53;122;217;286
66;2.17;47;905.60;121;213;286
74;2.17;47;904.73;121;213;286
85;2.14;48;903.54;118;207;275
93;2.12;48;902.68;118;207;275
95;2.13;48;902.37;119;205;273
94;2.11;48;902.49;118;205;269
94;2.09;49;902.54;121;209;260
93;2.08;49;902.61;121;208;269
93;2.00;49;902.63;119;218;295
93;1.93;49;902.63;119;218;295
94;1.87;50;902.54;120;217;293
94;1.82;50;902.56;120;217;293
94;1.76;50;902.52;122;223;293
94;1.71;50;902.54;123;223;295
94;1.67;51;902.56;124;230;307
94;1.64;51;902.54;124;230;307
94;1.57;51;902.52;125;228;304
94;1.53;51;902.56;125;228;304
94;1.46;51;902.52;126;227;298
94;1.42;52;902.54;126;227;298
94;1.38;52;902.54;127;227;305
94;1.34;52;902.57;127;227;305
94;1.30;52;902.55;126;226;297
94;1.27;52;902.56;126;226;300
94;1.23;52;902.53;124;223;301
94;1.21;52;902.54;124;224;306
94;1.18;52;902.55;122;217;299
94;1.16;52;902.56;122;217;293
94;1.15;52;902.56;122;213;282
94;1.12;52;902.52;122;213;282
94;1.09;53;902.53;121;209;288
94;1.08;53;902.56;121;209;288
94;1.05;53;902.58;122;206;285
94;1.02;53;902.55;122;206;285
93;1.00;52;902.59;121;205;278
94;0.99;52;902.55;121;205;278
94;0.96;52;902.56;118;201;283
93;0.95;52;902.59;118;201;283
93;0.94;53;902.60;119;199;283
93;0.93;53;902.60;119;199;283
94;0.91;53;902.57;115;201;275
93;0.90;52;902.59;114;205;282
94;0.88;52;902.58;112;198;274
94;0.86;52;902.57;115;202;274
94;0.85;52;902.57;112;200;274
94;0.84;53;902.57;112;200;274
93;0.82;53;902.61;113;193;262
93;0.82;53;902.60;113;193;263
94;0.80;53;902.56;110;192;263
94;0.80;53;902.55;110;192;263
94;0.80;53;902.55;111;195;265
94;0.80;53;902.56;111;195;265
96;0.79;53;902.30;111;195;265
104;0.79;53;901.43;111;195;265
116;0.80;53;900.16;112;195;261
127;0.81;53;898.97;110;195;259
139;0.83;53;897.60;108;192;275
150;0.86;52;896.46;105;188;271
161;0.90;50;895.21;97;172;249
172;0.95;48;894.09;90;160;233
184;0.99;46;892.78;61;107;154
194;1.03;45;891.64;53;90;127
194;1.09;43;891.74;34;58;79
194;1.15;42;891.70;33;55;75
194;1.18;42;891.70;32;54;71
193;1.22;41;891.78;32;54;71
