Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
0;5.21;40;942.19;67;121;133
0;5.30;40;942.18;89;159;199
0;5.35;40;942.16;89;158;196
0;5.44;40;942.20;90;160;202
0;5.50;40;942.19;91;158;200
0;5.51;40;942.19;91;161;195
0;5.54;40;942.18;91;162;198
-1;5.55;40;942.22;90;161;197
0;5.56;40;942.19;90;161;197
0;5.56;40;942.16;90;159;195
0;5.55;40;942.20;90;159;195
0;5.53;40;942.19;89;157;190
0;5.55;40;942.20;89;156;189
0;5.45;40;942.17;91;160;196
0;5.47;39;942.19;93;161;198
0;5.47;39;942.19;97;173;203
0;5.51;39;942.20;96;170;201
0;5.48;39;942.19;95;168;206
0;5.46;39;942.18;96;171;211
0;5.44;40;942.18;94;168;209
0;5.41;39;942.15;94;168;209
0;5.46;39;942.18;95;165;209
0;5.33;39;942.20;95;165;209
0;5.38;40;942.20;94;167;209
0;5.43;40;942.19;94;167;209
-1;5.50;40;942.30;93;167;209
-1;5.59;40;942.31;93;167;209
-1;5.68;40;942.30;92;167;205
-2;5.71;40;942.33;90;164;203
-1;5.75;41;942.29;93;164;210
-1;5.79;41;942.29;94;164;210
-1;5.82;41;942.31;94;161;205
-2;5.81;41;942.32;96;162;211
-1;5.81;42;942.27;96;163;209
-1;5.85;42;942.31;96;163;209
-1;5.89;42;942.29;98;169;214
-1;5.91;42;942.31;98;167;212
-1;5.92;41;942.30;96;168;219
-1;5.93;41;942.29;98;168;216
-1;5.93;41;942.31;92;161;212
-1;5.96;41;942.29;92;161;212
-2;5.96;41;942.34;97;166;211
-1;5.97;41;942.31;97;166;211
-1;5.97;41;942.28;97;168;210
-1;5.98;41;942.32;97;167;213
-2;6.00;42;942.34;100;173;211
-1;6.02;42;942.31;100;174;215
-1;6.02;42;942.30;97;172;213
-2;6.02;42;942.33;96;174;215
-1;6.03;42;942.31;96;173;213
-1;6.02;42;942.31;97;173;217
-2;6.05;42;942.33;95;171;222
-1;6.04;42;942.29;95;171;222
-1;6.03;42;942.29;97;175;227
-2;6.04;41;942.33;97;175;227
-2;6.06;41;942.34;98;180;228
-2;6.05;41;942.33;100;177;227
-2;6.06;42;942.34;102;184;229
-2;6.08;42;942.33;102;186;236
-2;6.10;42;942.33;103;189;253
-1;6.10;42;942.29;103;189;253
-2;6.12;42;942.32;100;185;247
-2;6.13;42;942.32;100;185;247
-1;6.13;42;942.30;101;187;246
-1;6.14;42;942.29;101;187;246
-1;6.16;42;942.30;100;184;236
-1;6.17;42;942.28;100;181;230
-1;6.18;42;942.32;106;176;212
-1;6.19;42;942.30;106;178;213
-1;6.20;42;942.29;107;179;221
-1;6.21;42;942.29;107;182;226
-1;6.24;42;942.32;103;178;235
-1;6.24;42;942.27;103;178;235
-1;6.29;42;942.30;104;180;232
-1;6.31;42;942.25;106;182;236
-2;6.35;42;942.32;103;178;239
-1;6.36;42;942.26;103;180;239
-1;6.42;43;942.26;103;183;235
-1;6.44;43;942.28;102;181;235
-1;6.45;43;942.26;101;181;231
-1;6.48;43;942.28;104;182;228
-1;6.51;43;942.30;106;185;232
-1;6.46;42;942.29;107;185;233
-1;6.48;41;942.25;110;191;244
-1;6.49;41;942.26;110;191;244
-1;6.48;40;942.29;113;197;248
-2;6.50;40;942.33;114;198;251
-1;6.45;40;942.30;113;199;253
-1;6.48;40;942.28;112;194;246
-2;6.47;39;942.33;115;194;250
-1;6.47;39;942.27;115;194;250
-1;6.47;39;942.29;121;195;249
-1;6.46;39;942.30;122;198;253
-1;6.43;39;942.26;131;213;268
-1;6.42;39;942.22;131;214;272
0;6.40;39;942.17;127;210;260
0;6.28;39;942.18;127;210;260
0;6.34;39;942.14;123;205;259
0;6.30;39;942.13;123;205;259
0;6.33;38;942.13;118;198;252
0;6.33;38;942.14;119;199;253
0;6.37;38;942.16;112;191;241
1;6.38;38;942.08;109;190;236
0;6.40;38;942.13;104;183;235
0;6.41;38;942.13;101;185;229
0;6.39;38;942.10;98;182;221
0;6.39;37;942.13;96;173;221
0;6.40;37;942.11;93;171;220
0;6.42;37;942.14;95;173;215
0;6.37;38;942.13;95;173;215
0;6.36;38;942.13;91;167;216
0;6.37;38;942.13;91;167;216
0;6.38;38;942.15;93;166;220
0;6.39;38;942.14;94;167;221
0;6.42;38;942.18;92;168;216
0;6.37;38;942.17;94;168;214
1;6.33;38;942.09;97;171;214
0;6.30;38;942.11;97;170;216
0;6.32;38;942.13;96;171;223
0;6.28;38;942.16;97;171;226
0;6.29;38;942.14;96;172;226
0;6.29;38;942.12;96;170;222
0;6.30;38;942.12;95;170;221
0;6.29;38;942.11;95;170;221
0;6.27;38;942.11;94;169;224
0;6.25;38;942.11;94;169;224
1;6.25;38;942.08;94;172;225
0;6.24;38;942.11;93;168;218
0;6.23;38;942.14;96;170;221
1;6.24;38;942.08;97;171;222
1;6.22;38;942.09;100;171;224
0;6.21;39;942.13;100;171;224
0;6.20;39;942.13;102;173;227
0;6.19;39;942.12;103;174;228
0;6.17;39;942.13;103;177;231
0;6.17;39;942.10;103;177;231
0;6.15;39;942.13;101;173;227
0;6.14;39;942.13;101;176;225
0;6.09;39;942.18;99;176;228
0;6.06;39;942.17;99;174;221
0;6.02;38;942.14;99;180;231
0;6.00;38;942.17;99;180;231
0;5.99;38;942.14;100;173;218
0;5.99;38;942.14;99;173;218
0;5.95;38;942.17;98;175;226
0;5.94;38;942.19;98;175;226
0;5.87;38;942.16;99;177;230
0;5.88;38;942.19;99;177;230
0;5.84;39;942.16;100;179;234
0;5.79;39;942.18;101;181;237
0;5.79;39;942.15;102;181;234
0;5.78;39;942.18;104;182;234
0;5.74;39;942.19;99;178;225
0;5.67;39;942.18;99;178;225
0;5.64;39;942.12;101;178;227
0;5.65;39;942.15;99;175;224
0;5.63;39;942.20;95;170;218
0;5.61;39;942.14;97;176;227
1;5.61;39;942.08;94;169;220
1;5.40;39;942.05;94;168;220
3;5.27;39;941.81;96;175;232
4;5.07;39;941.67;94;168;227
4;4.55;40;941.70;95;165;219
5;4.41;40;941.56;95;165;219
5;3.97;41;941.61;98;169;221
5;3.69;41;941.63;98;170;222
4;3.35;42;941.68;97;170;226
4;3.06;42;941.67;97;170;226
5;2.88;43;941.60;99;166;222
4;2.79;43;941.66;97;166;219
5;2.42;43;941.59;102;172;223
5;2.21;44;941.58;100;172;223
5;2.10;45;941.59;103;177;227
4;1.96;45;941.66;103;178;233
5;1.78;46;941.54;99;172;223
5;1.84;46;941.56;99;172;223
5;1.84;46;941.59;100;177;230
4;1.63;46;941.67;99;179;233
5;1.46;46;941.60;100;177;229
4;1.18;47;941.66;100;182;236
4;1.21;47;941.67;100;180;237
5;0.93;48;941.64;100;180;237
4;0.73;48;941.75;103;184;242
4;0.60;48;941.74;103;184;242
4;0.49;48;941.74;101;180;238
4;0.42;48;941.68;98;176;240
6;0.38;49;941.44;96;171;228
10;0.29;49;940.98;94;164;227
15;0.23;49;940.49;99;172;236
19;0.06;49;939.96;99;172;236
26;-0.11;50;939.23;101;175;236
32;-0.22;50;938.52;101;175;236
39;-0.38;51;937.69;102;176;239
45;-0.47;51;937.03;102;176;239
52;-0.60;51;936.32;103;176;232
56;-0.69;51;935.86;104;178;234
61;-0.72;52;935.32;101;171;223
64;-0.79;52;934.92;101;171;223
70;-0.72;52;934.21;98;166;218
76;-0.63;52;933.52;94;164;216
84;-0.79;52;932.65;86;154;204
92;-0.87;53;931.82;86;156;214
97;-0.91;53;931.20;80;145;208
97;-0.89;53;931.18;79;138;200
97;-0.87;54;931.22;74;129;176
97;-0.87;54;931.27;74;129;176
97;-0.86;54;931.22;69;122;170
97;-0.86;54;931.27;69;123;171
96;-0.88;54;931.30;65;111;150
96;-0.91;54;931.32;65;111;150
96;-0.91;55;931.32;65;110;154
96;-0.90;55;931.31;63;112;156
96;-0.91;55;931.31;66;121;167
96;-0.90;55;931.32;63;121;164
96;-0.90;55;931.32;66;129;163
96;-0.89;55;931.32;67;129;161
97;-0.88;55;931.26;69;125;160
96;-0.87;55;931.30;69;125;160
96;-0.86;55;931.32;68;122;158
96;-0.85;55;931.32;68;122;160
96;-0.85;55;931.30;67;119;170
96;-0.84;55;931.33;67;119;167
96;-0.84;55;931.36;66;120;172
96;-0.83;55;931.36;66;120;170
96;-0.83;55;931.35;65;119;167
96;-0.82;55;931.36;65;119;167
95;-0.81;55;931.39;69;127;163
96;-0.82;56;931.31;69;127;168
96;-0.81;56;931.30;71;129;167
96;-0.83;56;931.28;68;128;167
96;-0.82;56;931.31;68;124;167
96;-0.82;56;931.32;66;126;165
96;-0.83;56;931.35;68;130;169
96;-0.83;56;931.35;68;132;174
96;-0.84;56;931.32;69;136;178
96;-0.84;56;931.33;70;133;175
97;-0.85;56;931.25;70;134;173
97;-0.85;56;931.24;70;131;170
96;-0.84;56;931.30;70;130;166
97;-0.86;56;931.24;70;129;168
97;-0.87;56;931.22;71;127;168
96;-0.86;56;931.28;71;127;168
97;-0.84;56;931.26;69;124;170
96;-0.85;56;931.31;72;128;169
97;-0.84;56;931.23;69;123;168
96;-0.84;56;931.29;69;122;168
96;-0.84;56;931.29;69;126;165
96;-0.84;56;931.29;67;122;165
97;-0.85;56;931.27;70;126;166
95;-0.84;56;931.40;71;128;168
95;-0.85;56;931.46;72;129;171
96;-0.86;56;931.35;72;129;177
96;-0.88;56;931.37;75;139;181
96;-0.88;56;931.36;75;139;184
101;-0.95;56;930.73;73;135;195
109;-0.97;56;929.85;73;135;195
123;-1.00;56;928.34;71;131;193
134;-1.01;56;927.13;71;131;193
148;-1.05;56;925.49;70;123;183
160;-1.06;56;924.17;70;123;181
173;-1.10;57;922.76;65;116;158
183;-1.10;57;921.62;62;114;153
194;-1.08;57;920.34;58;105;136
195;-0.98;56;920.32;57;103;132
194;-0.87;56;920.42;49;89;121
193;-0.81;56;920.50;49;89;123
192;-0.72;55;920.57;49;84;116
192;-0.66;55;920.56;46;84;113
192;-0.63;55;920.58;48;83;109
192;-0.58;55;920.63;48;83;109
191;-0.54;55;920.70;51;85;109
191;-0.51;55;920.70;50;84;109
191;-0.49;54;920.74;51;85;117
191;-0.47;54;920.73;49;85;117
191;-0.44;54;920.75;51;87;118
191;-0.39;54;920.72;51;87;118
191;-0.37;54;920.74;51;87;122
191;-0.33;54;920.69;50;86;121
191;-0.30;54;920.69;50;84;116
191;-0.27;53;920.72;49;84;113
191;-0.23;53;920.74;49;81;119
191;-0.21;53;920.68;46;80;121
192;-0.20;53;920.66;47;83;123
192;-0.18;53;920.65;47;81;123
191;-0.17;53;920.69;48;87;116
191;-0.14;53;920.70;49;87;119
191;-0.14;53;920.72;51;85;119
191;-0.14;53;920.75;49;87;119
191;-0.15;53;920.72;52;88;119
191;-0.15;53;920.69;49;80;111
192;-0.16;53;920.66;51;86;110
191;-0.15;53;920.69;53;85;107
