Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
0;17.84;24;945.11;91;146;210
0;17.71;23;945.07;124;211;264
0;17.66;24;945.12;127;218;266
0;17.59;23;945.13;127;223;270
0;17.49;23;945.14;125;222;270
0;17.40;23;945.12;123;215;260
0;17.31;22;945.10;122;213;260
-1;17.17;25;945.17;120;212;258
0;17.05;26;945.13;122;212;261
0;16.80;24;945.11;121;210;261
0;16.50;24;945.14;121;210;259
0;16.45;23;945.13;129;216;270
0;16.39;23;945.11;130;218;271
0;16.34;23;945.14;131;228;275
0;16.28;23;945.15;132;227;275
-1;16.20;23;945.17;131;225;281
-1;16.10;23;945.18;128;220;274
0;16.00;23;945.14;129;218;270
0;15.92;23;945.13;127;218;268
0;15.80;23;945.14;128;214;265
0;15.71;23;945.09;128;211;259
0;15.59;23;945.10;125;206;257
0;15.51;23;945.11;124;201;247
0;15.38;23;945.15;126;203;251
0;15.29;23;945.11;123;204;243
0;15.17;24;945.09;124;203;246
0;15.08;24;945.11;122;202;248
0;14.96;24;945.09;121;201;246
0;14.87;24;945.10;123;203;248
0;14.74;24;945.08;123;203;252
1;14.67;24;945.03;125;206;259
0;14.55;24;945.05;125;204;259
1;14.46;24;945.02;126;205;260
1;14.33;24;944.96;127;205;259
1;14.24;24;944.96;126;205;261
1;14.11;24;944.94;127;204;251
1;14.01;24;944.95;127;205;252
1;13.87;24;944.93;127;207;254
2;13.77;24;944.89;127;205;259
2;13.64;24;944.90;124;203;253
2;13.55;24;944.89;123;201;246
2;13.39;25;944.90;122;203;246
2;13.27;25;944.86;122;202;246
2;13.14;25;944.86;120;198;241
2;13.03;25;944.89;120;195;239
2;12.92;25;944.89;122;198;246
2;12.81;25;944.83;121;196;245
2;12.71;25;944.89;120;202;247
2;12.61;25;944.86;120;202;245
2;12.50;26;944.87;117;205;241
2;12.40;26;944.87;118;207;244
2;12.26;26;944.86;118;206;239
2;12.16;26;944.86;118;202;236
2;12.02;26;944.84;120;204;239
3;11.93;26;944.84;118;204;241
2;11.78;26;944.82;118;202;246
3;11.68;26;944.80;120;204;249
3;11.55;26;944.78;120;205;251
3;11.47;27;944.80;120;203;250
3;11.34;27;944.81;118;201;246
3;11.25;27;944.80;118;198;242
3;11.14;27;944.77;120;203;252
3;11.06;27;944.76;118;203;251
3;10.96;27;944.74;118;201;244
3;10.88;28;944.71;120;203;248
3;10.80;28;944.73;120;205;242
3;10.72;28;944.73;123;207;248
3;10.65;28;944.75;122;209;257
3;10.57;28;944.77;120;209;253
3;10.49;29;944.74;120;206;248
3;10.43;29;944.74;122;211;260
3;10.37;29;944.75;118;207;258
3;10.33;29;944.73;116;207;255
3;10.30;30;944.74;117;196;241
3;10.22;30;944.71;115;192;233
3;10.18;30;944.78;113;190;228
3;10.14;30;944.79;116;192;230
3;10.07;30;944.79;119;196;236
2;10.02;30;944.82;121;196;236
2;9.95;30;944.83;122;200;240
2;9.90;29;944.82;124;204;248
3;9.82;29;944.81;124;205;248
2;9.77;29;944.82;126;211;254
2;9.69;29;944.82;126;213;256
3;9.68;29;944.78;124;211;257
3;9.63;30;944.79;126;211;255
3;9.49;30;944.77;121;208;251
2;9.45;30;944.83;126;217;262
3;9.45;30;944.80;127;217;265
3;9.42;30;944.78;132;224;273
3;9.41;30;944.80;134;227;277
2;9.35;30;944.82;138;230;289
2;9.34;30;944.82;135;231;294
3;9.33;30;944.82;136;232;294
3;9.32;30;944.81;136;232;294
2;9.30;30;944.83;138;230;293
2;9.33;30;944.83;138;230;293
2;9.34;30;944.83;134;228;286
2;9.34;30;944.85;135;229;288
2;9.33;30;944.86;133;229;289
2;9.31;30;944.86;133;229;289
2;9.30;30;944.85;133;226;279
2;9.28;30;944.82;133;226;279
2;9.29;30;944.90;132;224;277
2;9.31;30;944.92;131;218;272
1;9.30;30;944.94;131;214;255
2;9.28;30;944.91;129;213;254
1;9.27;30;944.95;126;204;247
2;9.27;30;944.92;129;208;253
2;9.26;31;944.92;127;210;254
1;9.26;31;944.93;127;210;254
2;9.24;31;944.89;126;216;261
1;9.24;31;944.95;126;216;261
1;9.24;31;944.96;125;216;266
1;9.22;31;944.93;127;220;274
2;9.21;31;944.92;129;219;272
1;9.22;32;944.96;129;216;270
1;9.20;32;944.94;124;215;267
1;9.21;33;944.96;124;215;267
1;9.21;33;944.96;123;213;264
1;9.19;33;944.95;123;215;262
1;9.17;34;944.96;124;222;278
1;9.16;34;944.96;128;225;278
1;9.15;35;944.97;128;229;292
1;9.14;34;944.98;128;229;292
1;9.11;35;944.94;129;225;285
1;9.12;36;944.96;130;227;287
1;9.10;37;945.01;133;219;280
1;9.10;37;944.98;132;217;273
1;9.10;37;944.97;125;209;257
1;9.13;37;945.00;125;208;256
-1;9.14;37;945.19;119;207;257
0;9.14;37;945.11;119;207;257
1;9.13;37;944.99;120;204;258
1;9.13;36;945.00;120;204;258
1;9.11;36;945.01;116;199;259
0;9.10;35;945.05;116;199;259
1;9.09;35;945.03;116;198;268
1;9.08;35;945.02;114;195;264
-1;9.08;34;945.20;113;190;259
0;9.07;34;945.13;113;190;259
-1;9.04;34;945.17;110;191;261
0;9.04;34;945.14;110;191;261
0;8.97;34;945.09;110;186;262
0;8.93;34;945.12;110;186;262
0;8.90;33;945.11;110;183;253
0;8.87;33;945.14;110;183;253
0;8.83;33;945.13;108;184;246
0;8.80;33;945.09;108;184;246
-1;8.78;33;945.25;107;184;246
-1;8.75;33;945.20;107;182;242
-2;8.72;33;945.28;102;177;234
0;8.67;33;945.07;102;180;238
0;8.65;33;945.12;99;176;234
0;8.61;33;945.10;101;176;234
-1;8.57;33;945.27;104;180;245
-1;8.55;32;945.21;103;179;244
-1;8.52;32;945.23;104;184;244
0;8.48;32;945.14;104;179;238
0;8.44;32;945.13;105;178;240
-1;8.41;32;945.16;104;177;240
-1;8.38;32;945.17;99;173;221
0;8.34;32;945.12;99;173;219
-1;8.31;32;945.20;94;162;202
0;8.27;32;945.15;94;162;202
0;8.23;32;945.12;90;159;196
0;8.19;32;945.13;91;159;197
0;8.15;32;945.10;93;163;210
-1;8.11;32;945.19;92;160;208
-1;8.00;32;945.19;101;177;239
-5;7.81;32;945.55;106;183;244
2;7.59;32;944.90;118;209;270
5;7.50;32;944.55;121;208;270
4;7.33;32;944.63;132;230;286
4;7.21;32;944.69;132;230;286
2;7.04;32;944.88;138;240;292
-1;6.80;33;945.22;139;241;293
-3;6.44;33;945.47;142;249;309
