Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
0;6.62;41;933.38;9;9;9
0;6.66;41;933.31;20;32;38
0;6.73;41;933.34;20;33;39
0;6.74;41;933.30;20;33;36
0;6.62;40;933.30;18;31;34
0;6.54;40;933.33;17;27;30
1;6.54;40;933.24;17;27;30
1;6.54;40;933.29;20;30;32
0;6.48;40;933.34;19;29;32
0;6.45;40;933.33;22;32;37
0;6.42;40;933.38;22;32;37
0;6.44;40;933.36;23;34;44
0;6.39;40;933.34;24;37;49
0;6.41;40;933.33;27;44;64
0;6.46;40;933.35;27;45;66
0;6.50;40;933.33;26;43;61
0;6.61;40;933.35;24;43;61
0;6.70;40;933.32;23;43;54
0;6.75;40;933.34;23;43;54
0;6.80;40;933.34;22;41;52
0;6.86;40;933.33;22;41;52
1;6.97;40;933.29;21;38;48
0;7.04;40;933.33;21;38;47
0;7.13;40;933.34;21;38;50
0;7.22;40;933.32;21;38;50
0;7.32;40;933.31;21;35;47
1;7.43;40;933.29;21;35;47
0;7.57;40;933.31;22;32;44
0;7.64;40;933.31;22;32;44
0;7.68;40;933.32;19;31;40
0;7.71;40;933.31;19;32;42
0;7.79;39;933.30;19;30;38
0;7.84;39;933.32;19;30;38
0;7.85;39;933.38;20;31;31
0;7.77;38;933.40;20;31;31
0;7.87;38;933.34;21;35;38
0;7.88;38;933.35;21;35;38
0;7.97;38;933.30;21;38;43
0;8.03;38;933.32;22;40;47
0;8.08;38;933.34;25;41;55
0;8.12;38;933.36;25;42;55
0;8.16;38;933.34;26;41;56
0;8.18;38;933.34;26;41;56
0;8.21;37;933.34;26;41;55
0;8.23;37;933.35;26;41;55
0;8.24;36;933.35;27;40;59
0;8.24;36;933.30;27;40;59
0;8.25;36;933.32;27;40;57
0;8.25;36;933.32;27;40;57
0;8.25;36;933.33;27;39;56
0;8.26;36;933.33;27;39;53
0;8.22;36;933.32;27;41;56
0;8.23;36;933.33;27;41;54
0;8.23;36;933.30;26;42;53
0;8.21;36;933.30;24;42;53
0;8.25;36;933.31;24;41;48
0;8.25;36;933.30;24;41;48
0;8.25;36;933.31;24;39;45
1;8.28;36;933.29;24;39;46
0;8.23;36;933.32;23;39;45
0;8.18;36;933.31;23;39;45
0;8.12;36;933.33;24;39;45
0;8.14;36;933.34;24;39;45
0;8.08;36;933.33;27;39;45
0;8.09;36;933.32;27;39;45
0;8.14;36;933.31;27;39;46
0;8.07;36;933.30;27;39;46
0;8.09;36;933.32;26;39;46
0;8.13;36;933.35;26;39;47
0;8.11;36;933.33;27;40;51
0;8.07;37;933.34;25;40;50
0;8.06;37;933.32;24;41;52
0;7.96;37;933.33;24;41;54
0;7.92;36;933.33;24;41;57
1;7.93;36;933.29;24;41;57
0;7.92;36;933.34;24;41;58
0;7.84;36;933.30;24;40;57
0;7.90;36;933.32;24;41;60
0;7.82;36;933.32;24;41;57
