Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
141;3.56;58;925.82;38;61;85
142;3.54;58;925.77;36;58;82
141;3.51;59;925.87;33;52;67
142;3.49;59;925.73;32;51;68
140;3.49;59;925.96;31;52;72
140;3.49;59;925.99;32;52;74
139;3.45;59;926.06;36;55;82
140;3.43;59;926.01;37;57;83
140;3.41;59;925.94;42;64;84
139;3.40;59;926.10;42;64;84
141;3.39;59;925.85;40;63;83
139;3.37;59;926.06;40;63;83
139;3.35;59;926.07;41;63;83
139;3.34;59;926.02;41;63;83
141;3.31;59;925.83;42;62;84
144;3.27;59;925.47;40;62;81
149;3.25;59;924.96;42;63;84
154;3.17;59;924.39;40;62;82
161;3.12;60;923.59;38;61;84
167;3.06;60;922.98;36;59;84
175;3.05;60;922.03;31;50;76
181;3.05;60;921.41;31;51;78
186;3.08;60;920.80;38;57;85
188;3.09;60;920.61;38;55;82
189;3.08;60;920.49;42;61;86
186;3.07;60;920.79;41;61;84
186;3.06;60;920.82;41;61;82
185;3.05;60;920.90;41;61;82
187;3.05;60;920.75;38;58;78
186;3.05;60;920.84;38;58;78
186;3.03;60;920.78;38;58;78
187;3.02;60;920.73;38;57;78
187;3.00;60;920.75;31;53;72
187;2.99;60;920.74;31;52;72
187;3.00;60;920.71;28;48;67
188;3.00;60;920.63;28;45;61
187;2.97;60;920.68;30;45;60
187;2.96;60;920.70;30;46;59
186;2.92;60;920.79;31;50;63
188;2.89;60;920.61;31;48;59
186;2.87;61;920.79;33;51;66
187;2.83;61;920.67;33;52;69
188;2.81;61;920.65;34;52;72
187;2.78;61;920.73;34;52;73
186;2.76;61;920.79;38;59;84
186;2.73;61;920.83;38;59;84
186;2.70;61;920.81;41;65;90
186;2.70;61;920.86;43;68;95
186;2.67;61;920.86;45;73;107
188;2.65;61;920.66;47;75;105
196;2.61;61;919.68;44;75;107
205;2.60;61;918.78;44;74;107
215;2.58;61;917.60;42;70;103
223;2.55;62;916.70;42;67;101
234;2.54;62;915.50;32;56;84
237;2.53;62;915.18;32;54;81
239;2.51;62;915.04;32;54;77
238;2.48;62;915.06;33;55;76
238;2.45;62;915.07;39;65;90
237;2.45;62;915.14;39;65;90
237;2.43;62;915.19;41;65;89
236;2.42;62;915.26;39;63;87
237;2.42;62;915.22;35;56;82
237;2.41;62;915.15;34;53;75
237;2.39;62;915.22;33;54;74
238;2.36;62;915.12;33;54;74
236;2.34;62;915.34;36;59;76
237;2.33;62;915.19;36;59;76
238;2.33;62;915.08;37;59;78
238;2.33;62;915.11;35;56;74
237;2.35;62;915.19;28;46;58
237;2.33;62;915.14;29;47;61
237;2.33;62;915.13;29;45;64
238;2.31;62;915.09;27;42;62
238;2.30;62;915.12;27;41;59
238;2.29;62;915.09;28;42;62
237;2.28;62;915.21;30;47;67
236;2.28;62;915.29;27;42;59
236;2.28;62;915.27;25;45;59
247;2.24;62;914.10;31;51;69
269;2.24;62;911.86;31;48;66
290;2.19;62;909.39;31;48;65
292;2.18;62;909.10;31;50;68
290;2.14;62;909.29;32;51;71
290;2.12;63;909.37;34;51;71
289;2.09;63;909.44;35;53;71
288;2.07;63;909.52;34;51;70
285;2.06;63;909.85;35;53;68
286;2.04;63;909.73;35;53;70
285;2.03;63;909.84;33;51;76
285;2.03;63;909.88;34;52;77
285;2.00;63;909.92;33;54;77
285;1.98;63;909.88;31;53;76
286;1.96;63;909.74;31;53;70
285;1.94;63;909.85;31;52;71
286;1.92;63;909.72;33;55;76
286;1.95;63;909.78;33;56;81
286;1.96;63;909.75;33;51;74
286;1.97;63;909.74;33;53;73
286;1.95;63;909.72;33;51;71
287;1.93;63;909.71;33;51;70
287;1.92;63;909.69;31;50;71
287;1.91;63;909.68;31;50;69
288;1.91;63;909.51;33;50;67
292;1.91;63;909.10;33;51;64
297;1.89;63;908.60;31;50;65
300;1.84;63;908.21;31;49;66
306;1.79;64;907.58;31;48;64
310;1.77;64;907.18;31;49;67
314;1.74;64;906.73;34;54;74
318;1.72;64;906.28;34;54;79
323;1.69;64;905.72;38;57;83
327;1.66;64;905.31;37;56;82
330;1.65;64;904.91;37;55;79
330;1.66;64;904.97;37;56;76
330;1.61;64;904.94;37;56;76
329;1.63;64;905.05;37;56;76
329;1.57;64;905.07;37;56;78
329;1.55;64;905.02;37;56;78
330;1.54;64;904.93;40;63;88
329;1.53;64;904.96;40;65;90
329;1.49;65;905.10;40;65;92
329;1.46;65;905.04;40;63;92
329;1.45;65;905.06;37;62;90
328;1.43;65;905.11;37;62;90
329;1.43;65;905.07;39;62;93
329;1.45;65;905.09;39;62;93
329;1.43;65;905.09;41;62;92
328;1.44;65;905.14;41;62;92
329;1.42;65;905.02;39;62;92
329;1.39;65;905.06;40;62;92
333;1.36;65;904.62;40;65;93
339;1.33;65;903.95;40;65;97
348;1.30;65;903.01;39;64;92
355;1.29;65;902.19;38;61;84
364;1.26;65;901.27;35;52;71
372;1.23;65;900.31;33;51;70
381;1.22;65;899.41;33;48;66
380;1.20;65;899.51;33;49;69
379;1.19;66;899.57;36;55;76
379;1.17;66;899.61;36;55;76
378;1.15;66;899.64;41;63;91
378;1.14;66;899.68;41;65;91
377;1.10;66;899.78;42;70;97
378;1.09;66;899.70;45;73;103
379;1.06;66;899.61;48;78;107
378;1.04;66;899.73;48;78;107
378;1.02;66;899.73;47;75;106
378;1.00;66;899.68;45;73;103
378;0.98;66;899.73;41;69;98
377;0.97;66;899.75;41;66;94
378;0.96;66;899.73;41;64;89
378;0.93;66;899.67;44;67;92
377;0.93;66;899.84;42;67;88
378;0.92;67;899.73;42;67;88
378;0.90;67;899.69;44;69;91
378;0.88;67;899.68;44;69;91
377;0.88;67;899.75;41;64;85
378;0.90;67;899.73;38;60;81
378;0.90;67;899.66;33;53;73
377;0.89;67;899.77;32;49;69
377;0.89;67;899.75;30;47;67
