Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
0;8.91;46;949.63;63;117;143
1;8.98;46;949.58;110;221;305
0;9.05;46;949.64;112;229;317
1;9.12;46;949.56;111;227;328
0;9.19;46;949.60;111;226;326
0;9.34;46;949.67;113;226;341
0;9.48;46;949.62;116;226;336
0;9.61;46;949.61;126;237;351
0;9.74;46;949.64;129;239;353
0;9.85;46;949.67;140;242;350
0;9.93;46;949.63;141;245;352
0;10.02;46;949.62;151;261;363
0;10.10;46;949.60;149;251;356
0;10.21;46;949.65;146;251;351
0;10.28;46;949.64;146;251;354
0;10.35;46;949.64;143;245;349
0;10.42;47;949.65;143;245;349
0;10.48;47;949.65;140;247;342
0;10.54;47;949.68;138;243;336
0;10.59;47;949.67;130;235;322
0;10.63;47;949.67;130;234;327
0;10.68;48;949.68;130;227;320
0;10.73;48;949.68;129;226;320
0;10.77;48;949.70;130;223;311
0;10.82;48;949.67;130;223;311
0;10.91;48;949.66;130;227;312
0;10.98;48;949.66;128;225;309
0;11.06;48;949.64;127;224;309
0;11.14;48;949.63;127;224;309
0;11.25;48;949.61;127;221;303
0;11.32;49;949.63;127;221;303
0;11.41;49;949.64;125;220;295
0;11.47;49;949.62;125;220;295
0;11.58;48;949.65;123;217;294
0;11.65;48;949.65;123;216;292
0;11.76;48;949.60;124;215;288
0;11.84;48;949.62;124;215;288
0;11.95;48;949.63;121;213;276
0;12.02;48;949.61;121;213;276
0;12.10;48;949.65;121;211;271
0;12.17;48;949.64;121;211;271
0;12.28;48;949.62;118;205;274
0;12.36;48;949.67;117;204;272
0;12.46;48;949.61;115;199;269
0;12.53;48;949.65;115;199;269
0;12.63;48;949.64;113;197;270
0;12.73;48;949.63;113;197;270
0;12.89;48;949.62;112;197;268
0;13.01;48;949.65;112;197;268
0;13.17;48;949.69;109;194;265
0;13.30;47;949.64;109;194;265
0;13.44;47;949.62;109;194;264
0;13.53;47;949.64;109;194;264
0;13.64;47;949.68;106;187;258
1;13.71;46;949.55;106;187;258
1;13.79;46;949.56;105;185;252
1;13.84;45;949.58;106;186;256
1;13.87;45;949.59;122;216;292
1;13.90;43;949.56;127;226;306
1;13.96;42;949.56;148;265;368
1;13.94;41;949.59;151;274;376
1;13.92;40;949.58;152;281;387
1;13.89;40;949.56;152;281;387
1;13.88;39;949.58;154;279;382
1;13.87;39;949.58;154;279;382
1;13.87;38;949.58;153;282;385
1;13.86;38;949.57;152;279;380
1;13.85;38;949.59;156;278;377
1;13.84;38;949.59;157;281;384
1;13.83;38;949.58;152;274;392
1;13.82;37;949.55;152;278;400
1;13.80;37;949.53;154;282;398
1;13.80;37;949.55;154;282;398
1;13.78;37;949.52;152;278;396
1;13.77;36;949.55;152;278;396
1;13.75;36;949.54;150;273;383
1;13.74;36;949.57;150;273;383
1;13.71;35;949.51;152;275;376
1;13.70;35;949.53;151;275;375
1;13.68;35;949.54;155;287;378
1;13.66;35;949.56;156;291;384
1;13.63;35;949.57;167;312;414
1;13.61;35;949.58;167;314;420
1;13.58;35;949.53;171;315;439
1;13.56;35;949.55;171;315;439
1;13.51;35;949.55;167;305;428
1;13.48;35;949.54;167;305;428
1;13.43;34;949.53;165;299;411
1;13.39;34;949.54;164;298;410
1;13.34;34;949.53;163;293;397
1;13.31;33;949.49;163;293;397
1;13.24;33;949.50;162;292;385
1;13.19;33;949.50;162;292;385
9;12.48;33;948.64;161;294;387
9;12.39;32;948.61;163;298;400
8;12.39;32;948.76;169;309;425
8;12.32;32;948.78;172;314;431
9;12.10;32;948.58;177;327;451
8;12.07;32;948.72;175;323;448
9;11.94;32;948.67;174;323;449
7;12.00;31;948.85;174;323;449
8;11.76;31;948.76;175;323;461
8;11.61;31;948.72;175;323;461
9;11.41;30;948.64;173;319;451
8;11.35;30;948.76;173;319;451
9;11.12;30;948.64;178;314;445
9;11.01;30;948.65;178;314;445
7;10.97;30;948.80;178;326;444
8;10.81;30;948.71;180;329;447
8;10.69;30;948.76;177;317;436
9;10.49;30;948.67;176;320;440
3;10.74;30;949.28;174;315;433
4;10.54;30;949.19;174;315;433
3;10.42;30;949.29;171;316;428
3;10.29;30;949.30;171;316;428
3;10.13;30;949.33;171;318;431
2;10.07;30;949.47;171;318;431
3;9.79;31;949.26;167;313;433
4;9.69;31;949.23;167;313;431
3;9.53;31;949.31;171;309;418
1;9.22;31;949.56;173;309;422
2;8.82;30;949.37;186;338;458
5;8.41;31;949.04;186;338;458
5;7.92;31;949.10;186;340;468
6;7.54;31;949.00;186;340;468
9;6.96;31;948.57;199;363;499
9;6.55;32;948.67;202;371;514
9;6.10;32;948.57;196;359;487
8;5.85;32;948.72;197;359;490
9;5.45;33;948.67;190;346;485
9;5.06;33;948.60;191;349;489
8;4.66;34;948.69;186;337;477
9;4.37;34;948.66;186;337;477
9;4.05;35;948.66;190;341;495
7;3.84;35;948.81;189;339;491
8;3.47;36;948.77;193;341;481
7;3.26;36;948.85;192;342;476
7;2.92;36;948.85;197;359;488
7;2.69;37;948.86;197;359;488
8;2.26;38;948.78;196;359;485
8;2.01;38;948.75;197;361;487
7;1.71;39;948.80;196;368;494
7;1.48;39;948.80;196;368;494
8;1.12;40;948.79;201;368;512
7;0.91;40;948.80;201;368;512
8;0.61;41;948.72;200;363;524
9;0.36;41;948.63;200;363;524
8;0.19;42;948.71;201;358;523
8;0.04;42;948.79;202;361;533
8;-0.16;43;948.72;197;355;513
8;-0.36;43;948.72;196;353;501
8;-0.54;43;948.79;190;351;503
8;-0.73;44;948.73;190;351;503
8;-0.92;44;948.77;196;348;503
8;-1.05;45;948.75;196;348;503
9;-1.24;45;948.66;192;338;511
8;-1.39;45;948.69;190;335;519
8;-1.58;46;948.72;188;324;500
8;-1.66;46;948.76;184;323;494
8;-1.78;47;948.75;180;313;463
9;-1.95;47;948.68;180;313;463
8;-2.02;47;948.75;186;314;447
8;-2.18;48;948.70;189;326;459
8;-2.29;48;948.71;206;361;511
9;-2.34;49;948.74;212;377;534
9;-2.49;49;948.66;224;409;560
8;-2.54;49;948.70;224;409;560
11;-2.74;50;948.42;221;396;553
20;-2.82;50;947.43;221;396;553
31;-3.03;50;946.15;214;383;533
37;-3.15;51;945.39;203;359;510
45;-3.23;51;944.59;200;355;488
52;-3.40;51;943.70;192;342;484
61;-3.47;51;942.69;175;318;435
70;-3.61;52;941.64;178;321;435
78;-3.71;52;940.81;165;292;398
84;-3.70;52;940.13;156;272;383
92;-3.82;52;939.27;161;286;402
95;-3.82;53;938.91;172;303;426
101;-3.88;53;938.27;188;347;485
105;-4.02;53;937.72;199;369;506
109;-4.10;54;937.34;222;424;563
107;-4.14;54;937.52;222;424;563
106;-4.17;54;937.59;237;448;597
106;-4.22;55;937.68;238;449;599
107;-4.45;55;937.49;251;473;622
107;-4.50;55;937.57;252;475;624
106;-4.56;56;937.61;260;486;652
107;-4.65;56;937.49;260;486;652
106;-4.68;56;937.59;265;495;677
107;-4.71;56;937.55;265;495;677
107;-4.87;57;937.57;259;473;673
107;-4.92;57;937.57;259;473;673
106;-4.90;57;937.66;254;463;676
107;-5.03;57;937.51;254;463;676
107;-5.14;58;937.48;244;442;659
107;-5.20;58;937.48;244;442;659
106;-5.15;58;937.66;234;432;656
108;-5.31;58;937.44;234;432;656
108;-5.37;58;937.39;225;417;645
108;-5.41;59;937.39;226;419;647
108;-5.47;59;937.38;222;420;650
107;-5.42;59;937.56;224;418;640
108;-5.55;59;937.43;229;434;642
107;-5.59;59;937.47;228;436;632
108;-5.62;60;937.41;243;458;641
108;-5.66;60;937.40;243;458;641
108;-5.67;60;937.46;257;493;664
108;-5.72;60;937.41;262;503;673
108;-5.73;60;937.42;279;545;747
108;-5.76;61;937.42;278;545;755
106;-5.71;61;937.60;280;548;768
107;-5.81;61;937.46;280;548;768
107;-5.89;61;937.47;277;551;801
108;-5.92;61;937.43;278;553;804
107;-5.94;62;937.48;276;538;795
106;-5.89;62;937.66;276;538;795
107;-5.99;62;937.56;278;539;787
107;-6.03;62;937.55;278;539;787
107;-6.05;62;937.50;282;550;806
108;-6.07;62;937.44;282;550;806
107;-6.02;63;937.57;280;550;821
106;-6.00;63;937.62;280;550;821
108;-6.11;63;937.42;278;548;791
108;-6.11;63;937.45;278;548;791
107;-6.11;63;937.48;279;554;794
108;-6.12;63;937.45;279;554;794
108;-6.15;63;937.41;277;553;807
