Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
0;8.08;38;930.43;77;152;261
0;7.98;38;930.42;134;239;324
0;7.97;39;930.42;140;241;323
0;7.96;39;930.41;146;247;339
0;7.95;39;930.42;148;248;341
0;7.93;39;930.43;144;241;332
0;7.92;39;930.43;142;238;334
0;7.90;39;930.44;140;235;337
0;7.88;39;930.42;139;233;333
0;7.86;40;930.45;138;230;337
0;7.84;40;930.47;138;230;337
0;7.83;40;930.46;133;228;326
0;7.83;40;930.46;135;232;336
0;7.79;40;930.48;136;247;357
0;7.77;40;930.47;136;247;357
0;7.75;40;930.42;135;254;343
0;7.75;40;930.43;135;251;341
0;7.74;40;930.43;137;252;336
0;7.73;40;930.40;137;252;336
0;7.72;40;930.42;138;249;331
0;7.71;40;930.41;138;249;331
0;7.69;41;930.45;144;259;349
0;7.68;41;930.46;149;263;354
0;7.67;41;930.42;156;277;376
0;7.67;41;930.45;159;281;381
0;7.66;41;930.44;160;284;381
0;7.65;41;930.45;157;280;382
0;7.64;41;930.48;162;284;379
0;7.61;40;930.42;162;284;379
0;7.52;40;930.46;161;288;385
-1;7.49;40;930.50;161;288;385
-1;7.45;40;930.50;161;286;376
0;7.29;40;930.47;161;286;376
0;7.25;40;930.43;161;289;375
0;7.13;40;930.43;161;289;375
0;7.01;41;930.42;161;287;378
0;6.96;41;930.42;161;287;378
0;6.96;41;930.49;161;292;384
0;6.95;41;930.45;161;292;384
0;6.86;41;930.49;162;298;387
0;6.84;41;930.46;162;298;387
0;6.75;41;930.46;165;305;397
0;6.73;41;930.44;164;304;396
0;6.64;41;930.45;166;307;404
0;6.53;41;930.45;166;307;404
0;6.45;41;930.45;163;304;399
0;6.26;41;930.42;163;304;399
0;6.00;42;930.45;162;296;392
0;5.96;42;930.44;162;296;392
0;5.73;42;930.43;160;288;386
0;5.65;42;930.42;158;285;375
0;5.60;42;930.43;156;278;369
0;5.30;42;930.45;156;278;363
0;5.19;43;930.47;156;290;364
0;5.13;43;930.47;158;289;371
0;4.94;43;930.45;155;287;368
0;4.83;43;930.49;155;287;368
-1;4.63;44;930.50;151;284;381
0;4.49;44;930.45;153;285;386
0;4.45;44;930.44;151;278;388
-1;4.60;44;930.51;151;276;386
-1;4.62;44;930.50;150;267;369
-1;4.65;44;930.57;155;276;381
-1;4.67;45;930.54;151;274;373
-1;4.65;45;930.54;151;274;373
0;4.66;45;930.49;149;266;361
0;4.64;45;930.48;149;266;361
0;4.59;45;930.46;152;266;370
1;4.33;45;930.38;152;266;370
3;3.98;46;930.11;152;266;358
4;3.90;46;929.96;152;266;358
2;3.68;46;930.16;152;265;347
4;3.55;46;929.93;152;265;347
4;3.24;46;929.93;147;256;328
5;2.99;47;929.93;145;254;329
4;2.67;47;929.93;135;240;308
4;2.37;48;929.98;138;247;323
4;2.28;48;929.99;131;235;329
4;2.12;48;929.95;131;234;328
5;1.89;49;929.93;133;238;326
9;1.81;49;929.48;134;238;327
16;1.70;50;928.60;133;234;320
24;1.62;50;927.69;133;234;320
36;1.54;50;926.40;131;230;308
46;1.49;50;925.32;131;230;308
61;1.40;51;923.60;130;228;303
71;1.28;51;922.45;130;228;303
86;1.15;51;920.85;126;220;298
95;1.13;51;919.83;122;215;290
97;1.06;51;919.60;116;200;279
96;0.98;52;919.67;117;199;278
96;0.90;52;919.72;118;198;265
96;0.81;52;919.76;121;200;266
