Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
0;7.00;36;933.34;85;119;203
0;6.62;36;933.40;121;198;276
0;6.64;37;933.41;123;202;275
0;6.69;37;933.38;125;202;292
0;6.75;37;933.40;125;202;289
0;6.81;37;933.40;125;205;291
-1;6.84;38;933.41;126;208;295
0;6.87;38;933.38;128;221;301
-1;6.92;38;933.42;128;226;303
0;6.93;38;933.40;130;232;317
0;6.82;38;933.39;130;236;319
0;6.83;38;933.40;142;254;353
0;6.75;38;933.40;140;250;344
0;6.71;38;933.41;143;252;345
-1;6.66;38;933.44;143;252;345
0;6.68;38;933.41;152;260;346
0;6.72;38;933.40;152;260;345
-1;6.76;39;933.45;162;270;348
-1;6.76;40;933.43;162;270;348
-1;6.74;39;933.42;162;264;335
-1;6.73;39;933.45;162;264;335
-1;6.74;38;933.44;161;262;337
0;6.74;38;933.40;161;262;337
0;6.75;38;933.39;164;268;343
-1;6.80;39;933.45;161;263;337
-1;6.86;39;933.44;154;258;341
-1;6.85;39;933.43;154;258;341
-1;6.78;39;933.43;142;245;338
0;6.80;39;933.42;142;245;338
0;6.73;39;933.40;142;244;333
-1;6.75;39;933.43;142;244;333
-1;6.76;39;933.42;140;241;320
0;6.74;38;933.40;139;241;319
-1;6.73;38;933.42;141;240;321
0;6.66;38;933.40;141;240;321
-1;6.67;38;933.43;143;249;322
0;6.68;38;933.41;144;251;326
0;6.70;39;933.40;143;254;338
-1;6.74;39;933.41;143;252;335
-1;6.74;39;933.43;140;245;327
-1;6.78;39;933.44;140;245;327
-1;6.79;39;933.42;145;251;329
-1;6.78;39;933.42;150;256;335
-1;6.81;39;933.43;159;271;346
-1;6.82;39;933.42;162;275;351
-1;6.86;39;933.44;174;289;372
-1;6.86;39;933.43;168;284;357
-1;6.88;39;933.42;163;273;355
-1;6.91;39;933.44;163;273;355
-1;6.94;39;933.42;158;272;350
-1;6.96;39;933.41;158;272;350
-1;6.96;39;933.42;157;266;345
-1;6.96;39;933.41;157;265;344
0;6.97;39;933.41;152;262;331
-1;6.97;39;933.46;152;262;331
-1;6.97;39;933.43;149;255;335
-1;6.98;39;933.42;149;255;335
0;6.96;39;933.40;147;247;328
0;6.94;38;933.40;147;247;328
0;6.92;38;933.38;146;240;321
0;6.90;38;933.40;147;241;322
